Artikelname;Anbietername;Wirkstoffe;ATC-C. (ADV);ATC 4 Steller;Stoffklasse;;;;;;
EDRONAX ;Pfizer Ph.PFE;Reboxetin mesilat;N06AX18;N06A;ANTIDEPRESSIVA;;;;;;
EXEMESTAN ;Pfizer Ph.PFE;Exemestan;L02BG06;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
FARMORUBICIN ;Pfizer Ph.PFE;Epirubicin hydrochlorid;L01DB03;L01D;ZYTOTOXISCHE ANTIBIOTIKA UND VERWANDTE SUBSTANZEN;;;;;;
FRAGMIN ;Pfizer Ph.PFE;Dalteparin natrium;B01AB04;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
FUNGATA ;Pfizer Ph.PFE;Fluconazol;J02AC01;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
GEVILON ;Pfizer Ph.PFE;Gemfibrozil;C10AB04;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
HALCION ;Pfizer Ph.PFE;Triazolam;N05CD05;N05C;HYPNOTIKA UND SEDATIVA;;;;;;
HUMATIN ;Pfizer Ph.PFE;Paromomycin-x-sulfat;A07AA06;A07A;INTESTINALE ANTIINFEKTIVA;;;;;;
INFLECTRA ;Pfizer Ph.PFE;Infliximab;L04AB02;L04A;IMMUNSUPPRESSIVA;;;;;;
INSPRA ;Pfizer Ph.PFE;Eplerenon;C03DA04;C03D;KALIUM SPARENDE MITTEL;;;;;;
KETANEST ;Pfizer Ph.PFE;Esketamin hydrochlorid;N01AX14;N01A;ALLGEMEINANÄSTHETIKA;;;;;;
LANTAREL ;Pfizer Ph.PFE;Methotrexat dinatrium;M01CX01;M01C;SPEZIFISCHE ANTIRHEUMATIKA;;;;;;
LATANOPROST ;Pfizer Ph.PFE;Latanoprost;S01EE01;S01E;GLAUKOMMITTEL UND MIOTIKA;;;;;;
LEUCOVORIN ;Pfizer Ph.PFE;Calcium folinat;V03AF03;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
LONOLOX ;Pfizer Ph.PFE;Minoxidil;C02DC01;C02D;MITTEL MIT WIRKUNG AUF DIE ARTERIELLE GEFÄSSMUSKULATUR;;;;;;
LYRICA ;Pfizer Ph.PFE;Pregabalin;N03AX16;N03A;ANTIEPILEPTIKA;;;;;;
MERONEM ;Pfizer Ph.PFE;Meropenem-3-Wasser;J01DH02;J01D;ANDERE BETA-LACTAM-ANTIBIOTIKA;;;;;;
MEROPENEM ;Pfizer Ph.PFE;Meropenem-3-Wasser;J01DH02;J01D;ANDERE BETA-LACTAM-ANTIBIOTIKA;;;;;;
METHOTREXAT ;Pfizer Ph.PFE;Methotrexat dinatrium;L01BA01;L01B;ANTIMETABOLITEN;;;;;;
MINPROG ;Pfizer Ph.PFE;Alprostadil;C01EA01;C01E;ANDERE HERZMITTEL;;;;;;
MINPROSTIN ;Pfizer Ph.PFE;Dinoproston;G02AD02;G02A;WEHEN FÖRDERNDE MITTEL;;;;;;
MONO ;Pfizer Ph.PFE;Isosorbid mononitrat;C01DA14;C01D;BEI HERZERKRANKUNGEN EINGESETZTE VASODILATATOREN;;;;;;
MYCOBUTIN ;Pfizer Ph.PFE;Rifabutin;J04AB04;J04A;MITTEL ZUR BEHANDLUNG DER TUBERKULOSE;;;;;;
NEURONTIN ;Pfizer Ph.PFE;Gabapentin;N03AX12;N03A;ANTIEPILEPTIKA;;;;;;
NIPENT ;Pfizer Ph.PFE;Pentostatin;L01XX08;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
NIVESTIM ;Pfizer Ph.PFE;Filgrastim;L03AA02;L03A;IMMUNSTIMULANZIEN;;;;;;
NORVASC ;Pfizer Ph.PFE;Amlodipin besilat;C08CA01;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
PETINUTIN ;Pfizer Ph.PFE;Mesuximid;N03AD03;N03A;ANTIEPILEPTIKA;;;;;;
PLANUM ;Pfizer Ph.PFE;Temazepam;N05CD07;N05C;HYPNOTIKA UND SEDATIVA;;;;;;
PREPIDIL ;Pfizer Ph.PFE;Dinoproston;G02AD02;G02A;WEHEN FÖRDERNDE MITTEL;;;;;;
RELPAX ;Pfizer Ph.PFE;Eletriptan hydrobromid;N02CC06;N02C;MIGRÄNEMITTEL;;;;;;
RETACRIT ;Pfizer Ph.PFE;Epoetin zeta;B03XA01;B03X;ANDERE ANTIANÄMIKA;;;;;;
REVATIO ;Pfizer Ph.PFE;Sildenafil citrat;C02KX06;C02K;ANDERE ANTIHYPERTENSIVA;;;;;;
SAYANA ;Pfizer Ph.PFE;Medroxyprogesteron acetat;G03AC06;G03A;HORMONELLE KONTRAZEPTIVA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
SILDENAFIL ;Pfizer Ph.PFE;Sildenafil citrat;G04BE03;G04B;UROLOGIKA;;;;;;
SOBELIN ;Pfizer Ph.PFE;Clindamycin dihydrogenphosphat;G01AA10;G01A;ANTIINFEKTIVA UND ANTISEPTIKA, EXKL. KOMBINATIONEN MIT CORTICOSTEROIDEN;;;;;;
SYNARELA ;Pfizer Ph.PFE;Nafarelin acetat;H01CA02;H01C;HYPOTHALAMUSHORMONE;;;;;;
TAFIL ;Pfizer Ph.PFE;Alprazolam;N05BA12;N05B;ANXIOLYTIKA;;;;;;
TAVOR ;Pfizer Ph.PFE;Lorazepam;N05BA06;N05B;ANXIOLYTIKA;;;;;;
TREVILOR ;Pfizer Ph.PFE;Venlafaxin hydrochlorid;N06AX16;N06A;ANTIDEPRESSIVA;;;;;;
TYGACIL ;Pfizer Ph.PFE;Tigecyclin;J01AA12;J01A;TETRACYCLINE;;;;;;
ULTREON ;Pfizer Ph.PFE;Azithromycin-2-Wasser;J01FA10;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
UNACID ;Pfizer Ph.PFE;Sultamicillin tosilat-2-Wasser;J01CR04;J01C;BETALACTAM-ANTIBIOTIKA, PENICILLINE;;;;;;
VFEND ;Pfizer Ph.PFE;Voriconazol;J02AC03;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
VIAGRA ;Pfizer Ph.PFE;Sildenafil citrat;G04BE03;G04B;UROLOGIKA;;;;;;
XALATAN ;Pfizer Ph.PFE;Latanoprost;S01EE01;S01E;GLAUKOMMITTEL UND MIOTIKA;;;;;;
ZAVEDOS ;Pfizer Ph.PFE;Idarubicin hydrochlorid;L01DB06;L01D;ZYTOTOXISCHE ANTIBIOTIKA UND VERWANDTE SUBSTANZEN;;;;;;
ZELDOX ;Pfizer Ph.PFE;Ziprasidon hydrochlorid-1-Wasser;N05AE04;N05A;ANTIPSYCHOTIKA;;;;;;
ZINFORO ;Pfizer Ph.PFE;Ceftarolin fosamil acetat (1:1)-1-Wasser;J01DI02;J01D;ANDERE BETA-LACTAM-ANTIBIOTIKA;;;;;;
ZITHROMAX ;Pfizer Ph.PFE;Azithromycin-2-Wasser;J01FA10;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
ZOLOFT ;Pfizer Ph.PFE;Sertralin hydrochlorid;N06AB06;N06A;ANTIDEPRESSIVA;;;;;;
ZYVOXID ;Pfizer Ph.PFE;Linezolid;J01XX08;J01X;ANDERE ANTIBIOTIKA;;;;;;
BENEFIX ;Pfizer Pharma;Nonacog alfa;B02BD09;B02B;VITAMIN K UND ANDERE HÄMOSTATIKA;;;;;;
BESPONSA ;Pfizer Pharma;Inotuzumab ozogamicin;L01XC;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
BOSULIF ;Pfizer Pharma;Bosutinib-1-Wasser;L01XE14;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
CHAMPIX ;Pfizer Pharma;Vareniclin tartrat;N07BA03;N07B;MITTEL ZUR BEHANDLUNG VON SUCHTERKRANKUNGEN;;;;;;
DYNASTAT ;Pfizer Pharma;Parecoxib natrium;M01AH04;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
ENBREL ;Pfizer Pharma;Etanercept;L04AB01;L04A;IMMUNSUPPRESSIVA;;;;;;
GENOTROPIN ;Pfizer Pharma;Somatropin;H01AC01;H01A;HYPOPHYSENVORDERLAPPENHORMONE UND ANALOGA;;;;;;
IBRANCE ;Pfizer Pharma;Palbociclib;L01XE33;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
INLYTA ;Pfizer Pharma;Axitinib;L01XE17;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
RAPAMUNE ;Pfizer Pharma;Sirolimus;L04AA10;L04A;IMMUNSUPPRESSIVA;;;;;;
REFACTO ;Pfizer Pharma;Moroctocog alfa;B02BD31;B02B;VITAMIN K UND ANDERE HÄMOSTATIKA;;;;;;
SOMAVERT ;Pfizer Pharma;Pegvisomant;H01AX01;H01A;HYPOPHYSENVORDERLAPPENHORMONE UND ANALOGA;;;;;;
SUTENT ;Pfizer Pharma;Sunitinib malat;L01XE04;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
TORISEL ;Pfizer Pharma;Temsirolimus;L01XE09;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
TOVIAZ ;Pfizer Pharma;Fesoterodin fumarat;G04BD11;G04B;UROLOGIKA;;;;;;
VYNDAQEL ;Pfizer Pharma;Tafamidis meglumin;N07XX08;N07X;ANDERE MITTEL FÜR DAS NERVENSYSTEM;;;;;;
XALKORI ;Pfizer Pharma;Crizotinib;L01XE16;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
XELJANZ ;Pfizer Pharma;Tofacitinib citrat;L04AA29;L04A;IMMUNSUPPRESSIVA;;;;;;
ALDOSIN ;Pfleger;Betamethason valerat;D07AC01;D07A;CORTICOSTEROIDE, REIN;;;;;;
ANABLOCK ;Pfleger;Anastrozol;L02BG03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
BICALUTIN ;Pfleger;Bicalutamid;L02BB03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
DERMATIN ;Pfleger;Terbinafin hydrochlorid;D01BA02;D01B;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
DIPALEN ;Pfleger;Adapalen;D10AD03;D10A;AKNEMITTEL ZUR TOPISCHEN ANWENDUNG;;;;;;
ELMIRON ;Pfleger;Natrium pentosan polysulfat;G04BX15;G04B;UROLOGIKA;;;;;;
EXESTAN ;Pfleger;Exemestan;L02BG06;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
FINURAL ;Pfleger;Finasterid;G04CB01;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
FLUNAZUL ;Pfleger;Fluconazol;J02AC01;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
KECIFLOX ;Pfleger;Ciprofloxacin hydrochlorid-1-Wasser;J01MA02;J01M;CHINOLONE;;;;;;
LETROBLOCK ;Pfleger;Letrozol;L02BG04;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
NADIXA ;Pfleger;Nadifloxacin;D10AF05;D10A;AKNEMITTEL ZUR TOPISCHEN ANWENDUNG;;;;;;
NOVANOX ;Pfleger;Nitrazepam;N05CD02;N05C;HYPNOTIKA UND SEDATIVA;;;;;;
SPASMEX ;Pfleger;Trospium chlorid;A03AB20;A03A;MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN;;;;;;
TAMSUBLOCK ;Pfleger;Tamsulosin hydrochlorid;G04CA02;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
TERABLOCK ;Pfleger;Terazosin hydrochlorid-2-Wasser;G04CA03;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
TROSPIUM ;Pfleger;Trospium chlorid;G04BD09;G04B;UROLOGIKA;;;;;;
URTIMED ;Pfleger;Rupatadin fumarat;R06AX28;R06A;ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
DOXORUBICIN ;PGD Profusio H.;Doxorubicin hydrochlorid;L01DB01;L01D;ZYTOTOXISCHE ANTIBIOTIKA UND VERWANDTE SUBSTANZEN;;;;;;
EPIRUBICIN ;PGD Profusio H.;Epirubicin hydrochlorid;L01DB03;L01D;ZYTOTOXISCHE ANTIBIOTIKA UND VERWANDTE SUBSTANZEN;;;;;;
ETOPOSID ;PGD Profusio H.;Etoposid;L01CB01;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
GEMCITABIN ;PGD Profusio H.;Gemcitabin hydrochlorid;L01BC05;L01B;ANTIMETABOLITEN;;;;;;
IRINOTECAN ;PGD Profusio H.;Irinotecan hydrochlorid-3-Wasser;L01XX19;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
OXALIPLATIN ;PGD Profusio H.;Oxaliplatin;L01XA03;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
PACLITAXEL ;PGD Profusio H.;Paclitaxel;L01CD01;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
VINORELBIN ;PGD Profusio H.;Vinorelbin tartrat;L01CA04;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
CALCIUMFOLINAT ;PGD Profusio L.;Calcium folinat;V03AF03;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
CARBOPLATIN ;PGD Profusio L.;Carboplatin;L01XA02;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
DOCETAXEL ;PGD Profusio L.;Docetaxel;L01CD02;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
GEMCITABIN ;PGD Profusio L.;Gemcitabin hydrochlorid;L01BC05;L01B;ANTIMETABOLITEN;;;;;;
PACLITAXEL ;PGD Profusio L.;Paclitaxel;L01CD01;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
DESOGESTREL ;Pharbil Waltrop;Desogestrel;G03AC09;G03A;HORMONELLE KONTRAZEPTIVA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
YONDELIS ;Pharma Mar;Trabectedin;L01CX01;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
FLUOROURACIL ;Pharma Resourc.;Fluorouracil;L01BC02;L01B;ANTIMETABOLITEN;;;;;;
FOLINSÄURE ;Pharma Resourc.;Calcium folinat;V03AF03;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
VINORELBIN ;Pharma Resourc.;Vinorelbin tartrat;L01CA04;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
ZOLEDRONSÄURE ;Pharma Resourc.;Zoledronsäure-1-Wasser;M05BA08;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
DIFEN ;Pharma Stulln;Diclofenac natrium;S01BC03;S01B;ANTIPHLOGISTIKA;;;;;;
MYDRIATICUM ;Pharma Stulln;Tropicamid;S01FA06;S01F;MYDRIATIKA UND ZYKLOPLEGIKA;;;;;;
OFLOXACIN ;Pharma Stulln;Ofloxacin;S01AE01;S01A;ANTIINFEKTIVA;;;;;;
TIMO ;Pharma Stulln;Timolol hydrogenmaleat;S01ED01;S01E;GLAUKOMMITTEL UND MIOTIKA;;;;;;
ADRIACEPT ;Pharmacept;Doxorubicin hydrochlorid;L01DB01;L01D;ZYTOTOXISCHE ANTIBIOTIKA UND VERWANDTE SUBSTANZEN;;;;;;
UNGUENTUM ;Pharmachem;Oxytetracyclin hydrochlorid;D06AA03;D06A;ANTIBIOTIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
NITRONAL ;Pharmapol;Glyceroltrinitrat;C01DA02;C01D;BEI HERZERKRANKUNGEN EINGESETZTE VASODILATATOREN;;;;;;
OKRIDO ;Pharmapol;Prednisolon dihydrogenphosphat dinatrium;H02AB06;H02A;CORTICOSTEROIDE ZUR SYSTEMISCHEN ANWENDUNG, REIN;;;;;;
LIDOCAIN ;pharmarissano;Lidocain hydrochlorid-1-Wasser;N01BB02;N01B;LOKALANÄSTHETIKA;;;;;;
PROCAIN ;pharmarissano;Procain hydrochlorid-1-Wasser;N01BA02;N01B;LOKALANÄSTHETIKA;;;;;;
CYRDANAX ;Pharmaselect;Dexrazoxan-x-hydrochlorid;V03AF02;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
FLUMAZENIL ;Pharmaselect;Flumazenil;V03AB25;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
ARIDOL ;Pharmaxis;Mannitol;V04CX10;V04C;ANDERE DIAGNOSTIKA;;;;;;
RUCONEST ;Pharming Techn.;Conestat alfa;B06AC04;B06A;ANDERE HÄMATOLOGIKA;;;;;;
CASPOFUNGIN-Pharmore ;Pharmore;Caspofungin diacetat;J02AX04;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
CIPROFLOXACIN ;Pharmore;Ciprofloxacin lactat;J01MA02;J01M;CHINOLONE;;;;;;
DELTARAN ;Pharmore;Dexibuprofen;M01AE14;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
FLUCONAZOL ;Pharmore;Fluconazol;J02AC01;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
GLIADEL ;Pharmore;Carmustin-Polifeprosan 20-Matrix;L01AD01;L01A;ALKYLIERENDE MITTEL;;;;;;
PRIDAX ;Pharmore;Alprostadil;C04AG01;C04A;PERIPHERE VASODILATATOREN;;;;;;
PROPOFOL ;Pharmore;Propofol;N01AX10;N01A;ALLGEMEINANÄSTHETIKA;;;;;;
XALUPRINE ;Pharmore;Mercaptopurin-1-Wasser;L01BB02;L01B;ANTIMETABOLITEN;;;;;;
BELLYMED ;Pharno-Wedroph.;Macrogol 3350;A06AD15;A06A;MITTEL GEGEN OBSTIPATION;;;;;;
ALACARE ;Photonamic;5-Amino-4-oxopentansäure;L01XD04;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
AIROL ;Pierre Fabre H,;Tretinoin;D10AD01;D10A;AKNEMITTEL ZUR TOPISCHEN ANWENDUNG;;;;;;
CLARELUX ;Pierre Fabre H,;Clobetasol 17-propionat;D07AD01;D07A;CORTICOSTEROIDE, REIN;;;;;;
HEMANGIOL ;Pierre Fabre H,;Propranolol hydrochlorid;C07AA05;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
ROSICED ;Pierre Fabre H,;Metronidazol;D06BX01;D06B;CHEMOTHERAPEUTIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
BUSILVEX ;Pierre Fabre P.;Busulfan;L01AB01;L01A;ALKYLIERENDE MITTEL;;;;;;
NAVELBINE ;Pierre Fabre P.;Vinorelbin tartrat;L01CA04;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
PANOTILE ;Pierre Fabre P.;Ciprofloxacin hydrochlorid-1-Wasser;S02AA15;S02A;ANTIINFEKTIVA;;;;;;
ISOFLURAN ;Piramal Cri.Dtl;Isofluran;N01AB06;N01A;ALLGEMEINANÄSTHETIKA;;;;;;
SEVOFLURAN ;Piramal Cri.Dtl;Sevofluran;N01AB08;N01A;ALLGEMEINANÄSTHETIKA;;;;;;
NITROLINGUAL ;Pohl-Boskamp;Glyceroltrinitrat;C01DA02;C01D;BEI HERZERKRANKUNGEN EINGESETZTE VASODILATATOREN;;;;;;
PRIMEDIFEM ;Primed Halber.;Kupferdraht;G02BA02;G02B;KONTRAZEPTIVA ZUR LOKALEN ANWENDUNG;;;;;;
PRIMEDIFEM-T ;Primed Halber.;Kupferdraht;G02BA02;G02B;KONTRAZEPTIVA ZUR LOKALEN ANWENDUNG;;;;;;
NAVOBAN ;Primus Lab;Tropisetron hydrochlorid;A04AA03;A04A;ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT;;;;;;
CORTIREL ;Proreo Pharma;Corticorelin (human)-triflutat;V04CD04;V04C;ANDERE DIAGNOSTIKA;;;;;;
ARIPIPRAZOL ;PUREN Pharma;Aripiprazol;N05AX12;N05A;ANTIPSYCHOTIKA;;;;;;
BICALUTAMID ;PUREN Pharma;Bicalutamid;L02BB03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
BOSENTAN ;PUREN Pharma;Bosentan-1-Wasser;C02KX01;C02K;ANDERE ANTIHYPERTENSIVA;;;;;;
BUCAIN ;PUREN Pharma;Bupivacain hydrochlorid;N01BB01;N01B;LOKALANÄSTHETIKA;;;;;;
BUPIVAN ;PUREN Pharma;Bupivacain hydrochlorid-1-Wasser;N01BB01;N01B;LOKALANÄSTHETIKA;;;;;;
BUPRENORPHIN ;PUREN Pharma;Buprenorphin hydrochlorid;N07BC01;N07B;MITTEL ZUR BEHANDLUNG VON SUCHTERKRANKUNGEN;;;;;;
CANDESARTAN ;PUREN Pharma;Candesartan cilexetil;C09CA06;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
CARBOPLATIN ;PUREN Pharma;Carboplatin;L01XA02;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
CEDUR ;PUREN Pharma;Bezafibrat;C10AB02;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
CELECOXIB ;PUREN Pharma;Celecoxib;M01AH01;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
CLOPIDOGREL ;PUREN Pharma;Clopidogrel besilat;B01AC04;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
DESLORATADIN ;PUREN Pharma;Desloratadin;R06AX27;R06A;ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
DIAMILLA ;PUREN Pharma;Desogestrel;G03AC09;G03A;HORMONELLE KONTRAZEPTIVA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
DICLO ;PUREN Pharma;Diclofenac natrium;M01AB05;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
DOCETAXEL ;PUREN Pharma;Docetaxel;L01CD02;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
DOXORUBICIN ;PUREN Pharma;Doxorubicin hydrochlorid;L01DB01;L01D;ZYTOTOXISCHE ANTIBIOTIKA UND VERWANDTE SUBSTANZEN;;;;;;
EPIRUBICIN ;PUREN Pharma;Epirubicin hydrochlorid;L01DB03;L01D;ZYTOTOXISCHE ANTIBIOTIKA UND VERWANDTE SUBSTANZEN;;;;;;
EPLERENON ;PUREN Pharma;Eplerenon;C03DA04;C03D;KALIUM SPARENDE MITTEL;;;;;;
ESOMEPRAZOL ;PUREN Pharma;Esomeprazol hemimagnesium-1-Wasser;A02BC05;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
ETORICOXIB ;PUREN Pharma;Etoricoxib;M01AH05;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
EXEMESTAN ;PUREN Pharma;Exemestan;L02BG06;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
FENTANYL ;PUREN Pharma;Fentanyl;N02AB03;N02A;OPIOIDE;;;;;;
FINASTERID ;PUREN Pharma;Finasterid;D11AX10;D11A;ANDERE DERMATIKA;;;;;;
FLECAINID ;PUREN Pharma;Flecainid acetat;C01BC04;C01B;ANTIARRHYTHMIKA, KLASSE I UND III;;;;;;
FLUCONAZOL ;PUREN Pharma;Fluconazol;J02AC01;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
FLUDARABIN ;PUREN Pharma;Fludarabin-5'-dihydrogenphosphat;L01BB05;L01B;ANTIMETABOLITEN;;;;;;
FLUVASTATIN ;PUREN Pharma;Fluvastatin natrium;C10AA04;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
FOLINSÄURE ;PUREN Pharma;Calcium folinat;V03AF03;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
GEMCITABIN ;PUREN Pharma;Gemcitabin hydrochlorid;L01BC05;L01B;ANTIMETABOLITEN;;;;;;
GRANISETRON ;PUREN Pharma;Granisetron hydrochlorid;A04AA02;A04A;ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT;;;;;;
HYDROMORPHON-HCl ;PUREN Pharma;Hydromorphon hydrochlorid;N02AA03;N02A;OPIOIDE;;;;;;
IBUPROFEN ;PUREN Pharma;Ibuprofen;M01AE01;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
IMATINIB ;PUREN Pharma;Imatinib mesilat;L01XE01;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
INDAPAMID ;PUREN Pharma;Indapamid;C03BA11;C03B;LOW-CEILING-DIURETIKA, EXKL. THIAZIDE;;;;;;
IRBESARTAN ;PUREN Pharma;Irbesartan;C09CA04;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
IRINOTECAN ;PUREN Pharma;Irinotecan hydrochlorid-3-Wasser;L01XX19;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
ISOTRETINOIN ;PUREN Pharma;Isotretinoin;D10BA01;D10B;AKNEMITTEL ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
LANSOPRAZOL ;PUREN Pharma;Lansoprazol;A02BC03;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
LERCANIDIPIN ;PUREN Pharma;Lercanidipin hydrochlorid;C08CA13;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
LETROZOL ;PUREN Pharma;Letrozol;L02BG04;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
LEVETIRACETAM ;PUREN Pharma;Levetiracetam;N03AX14;N03A;ANTIEPILEPTIKA;;;;;;
LICAIN ;PUREN Pharma;Lidocain hydrochlorid-1-Wasser;N01BB02;N01B;LOKALANÄSTHETIKA;;;;;;
LINEZOLID ;PUREN Pharma;Linezolid;J01XX08;J01X;ANDERE ANTIBIOTIKA;;;;;;
LISINOPRIL ;PUREN Pharma;Lisinopril-2-Wasser;C09AA03;C09A;ACE-HEMMER, REIN;;;;;;
MEAVERIN ;PUREN Pharma;Mepivacain hydrochlorid;N01BB03;N01B;LOKALANÄSTHETIKA;;;;;;
MEBEVERIN ;PUREN Pharma;Mebeverin hydrochlorid;A03AA04;A03A;MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN;;;;;;
MECAIN ;PUREN Pharma;Mepivacain hydrochlorid;N01BB03;N01B;LOKALANÄSTHETIKA;;;;;;
MEMANTINHYDROCHLORID ;PUREN Pharma;Memantin hydrochlorid;N06DX01;N06D;ANTIDEMENTIVA;;;;;;
